,FTR,HomeTeam,AwayTeam,FTHG,FTAG
0,H,Freiburg,Union Berlin,4,1
1,D,Mainz,Ein Frankfurt,1,1
2,A,Schalke 04,Bayern Munich,0,2
3,A,Werder Bremen,RB Leipzig,1,2
4,H,Leverkusen,Stuttgart,2,0
5,A,Hoffenheim,Wolfsburg,1,2
6,H,Hertha,FC Koln,2,0
7,A,Augsburg,Bochum,0,1
8,H,M'gladbach,Dortmund,4,2
9,D,Union Berlin,Augsburg,2,2
10,H,Schalke 04,Mainz,1,0
11,H,RB Leipzig,Freiburg,3,1
12,H,Ein Frankfurt,Hoffenheim,4,2
13,A,FC Koln,Leverkusen,1,2
14,H,Stuttgart,Hertha,2,1
15,H,Bochum,M'gladbach,2,1
16,H,Bayern Munich,Werder Bremen,6,1
17,H,Wolfsburg,Dortmund,2,0
18,H,Freiburg,FC Koln,2,0
19,H,Leverkusen,Union Berlin,5,0
20,H,Werder Bremen,Schalke 04,2,1
21,A,Mainz,Wolfsburg,0,3
22,A,Hoffenheim,RB Leipzig,1,3
23,A,Hertha,Bayern Munich,2,3
24,H,Dortmund,Bochum,3,0
25,A,Augsburg,Ein Frankfurt,1,2
26,H,M'gladbach,Stuttgart,3,1
27,D,FC Koln,Hoffenheim,1,1
28,A,Schalke 04,Freiburg,0,2
29,H,Union Berlin,M'gladbach,2,1
30,A,Ein Frankfurt,Dortmund,1,2
31,H,Wolfsburg,Bochum,4,0
32,H,Stuttgart,Augsburg,2,1
33,H,RB Leipzig,Leverkusen,2,0
34,H,Bayern Munich,Mainz,6,2
35,H,Werder Bremen,Hertha,1,0
36,H,Hertha,Schalke 04,2,1
37,H,Bochum,Union Berlin,2,1
38,A,M'gladbach,Ein Frankfurt,1,3
39,D,Leverkusen,Wolfsburg,2,2
40,A,Hoffenheim,Bayern Munich,0,2
41,H,Freiburg,Werder Bremen,2,0
42,H,Dortmund,Stuttgart,5,0
43,D,Augsburg,RB Leipzig,3,3
44,H,Mainz,FC Koln,5,0
45,H,Bayern Munich,Freiburg,5,0
46,H,Union Berlin,Dortmund,2,0
47,H,FC Koln,Augsburg,3,2
48,H,RB Leipzig,Hertha,3,2
49,D,Wolfsburg,M'gladbach,2,2
50,A,Werder Bremen,Mainz,0,2
51,H,Stuttgart,Bochum,4,1
52,H,Ein Frankfurt,Leverkusen,5,1
53,A,Schalke 04,Hoffenheim,0,3
54,A,Stuttgart,Union Berlin,0,1
55,D,Hertha,Freiburg,2,2
56,H,M'gladbach,FC Koln,5,2
57,D,Dortmund,Bayern Munich,2,2
58,D,Mainz,RB Leipzig,1,1
59,H,Leverkusen,Schalke 04,4,0
60,H,Bochum,Ein Frankfurt,3,0
61,D,Augsburg,Wolfsburg,1,1
62,A,Hoffenheim,Werder Bremen,1,2
63,A,Schalke 04,Augsburg,2,3
64,D,Hertha,Hoffenheim,1,1
65,H,Werder Bremen,M'gladbach,5,1
66,H,Wolfsburg,Stuttgart,3,2
67,H,RB Leipzig,Bochum,4,0
68,H,Freiburg,Mainz,2,1
69,H,FC Koln,Dortmund,3,2
70,H,Ein Frankfurt,Union Berlin,2,0
71,H,Bayern Munich,Leverkusen,4,0
72,D,Hoffenheim,Freiburg,0,0
73,D,Bochum,FC Koln,1,1
74,H,Union Berlin,Wolfsburg,2,0
75,H,M'gladbach,RB Leipzig,3,0
76,A,Stuttgart,Ein Frankfurt,1,3
77,D,Leverkusen,Werder Bremen,1,1
78,H,Dortmund,Schalke 04,1,0
79,H,Augsburg,Bayern Munich,1,0
80,D,Mainz,Hertha,1,1
81,D,Freiburg,M'gladbach,0,0
82,A,FC Koln,Union Berlin,0,1
83,H,Schalke 04,Bochum,3,1
84,H,RB Leipzig,Dortmund,3,0
85,H,Hoffenheim,Mainz,4,1
86,D,Hertha,Leverkusen,2,2
87,A,Ein Frankfurt,Wolfsburg,0,1
88,D,Bayern Munich,Stuttgart,2,2
89,A,Werder Bremen,Augsburg,0,1
90,A,M'gladbach,Mainz,0,1
91,A,Augsburg,Hertha,0,2
92,H,Ein Frankfurt,RB Leipzig,4,0
93,A,Wolfsburg,FC Koln,2,4
94,D,Union Berlin,Bayern Munich,1,1
95,D,Stuttgart,Schalke 04,1,1
96,A,Leverkusen,Freiburg,2,3
97,A,Bochum,Werder Bremen,0,2
98,H,Dortmund,Hoffenheim,1,0
99,A,Werder Bremen,Ein Frankfurt,3,4
100,D,FC Koln,Stuttgart,0,0
101,D,Bayern Munich,M'gladbach,1,1
102,A,Schalke 04,Union Berlin,1,6
103,H,RB Leipzig,Wolfsburg,2,0
104,A,Mainz,Leverkusen,0,3
105,H,Hoffenheim,Augsburg,1,0
106,A,Hertha,Dortmund,0,1
107,H,Freiburg,Bochum,1,0
108,A,Bochum,Bayern Munich,0,7
109,D,Ein Frankfurt,FC Koln,1,1
110,H,Union Berlin,RB Leipzig,2,1
111,D,Wolfsburg,Schalke 04,0,0
112,A,Stuttgart,Freiburg,0,1
113,A,Leverkusen,Hoffenheim,0,3
114,A,Dortmund,Werder Bremen,2,3
115,A,Augsburg,Mainz,1,2
116,H,M'gladbach,Hertha,1,0
117,H,Bayern Munich,Wolfsburg,2,0
118,D,Mainz,Union Berlin,0,0
119,D,Schalke 04,M'gladbach,2,2
120,D,Werder Bremen,Stuttgart,2,2
121,D,RB Leipzig,FC Koln,2,2
122,A,Leverkusen,Augsburg,1,2
123,H,Hoffenheim,Bochum,3,2
124,D,Hertha,Ein Frankfurt,1,1
125,A,Freiburg,Dortmund,1,3
126,H,FC Koln,Schalke 04,3,1
127,D,Stuttgart,RB Leipzig,1,1
128,H,Dortmund,Leverkusen,1,0
129,D,Wolfsburg,Werder Bremen,2,2
130,H,Union Berlin,Hertha,3,1
131,H,M'gladbach,Hoffenheim,3,1
132,A,Bochum,Mainz,1,2
133,A,Augsburg,Freiburg,0,4
134,A,Ein Frankfurt,Bayern Munich,1,6
135,D,Wolfsburg,Bayern Munich,2,2
136,H,Union Berlin,Bochum,3,2
137,H,Stuttgart,FC Koln,2,1
