,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
0,1,0,0,1,0,Freiburg,Union Berlin,2.2,1.66,1.65,0.825,11,6,4,0,1,1,1,3,1,2,2
1,0,1,0,0,1,Mainz,Ein Frankfurt,1.72,2.1,1.2727272727272727,1.4285714285714284,8,11,1,1,3,3,1,1,0,3,2
2,0,0,1,0,1,Schalke 04,Bayern Munich,1.28,3.75,0.5,6.4655172413793105,3,19,1,0,4,5,0,0,0,0,5
3,0,0,1,1,0,Werder Bremen,RB Leipzig,1.57,2.37,1.1111111111111112,2.1052631578947367,5,13,2,0,3,4,1,0,0,0,5
4,1,0,0,0,1,Leverkusen,Stuttgart,1.57,2.37,2.4418604651162794,0.9699769053117783,11,5,3,1,1,2,0,3,4,1,0
5,0,0,1,1,0,Hoffenheim,Wolfsburg,1.66,2.2,1.6666666666666667,1.2096774193548387,5,13,0,1,4,4,1,0,3,0,2
6,1,0,0,0,1,Hertha,FC Koln,1.72,2.1,1.6363636363636362,1.1612903225806452,7,2,2,0,3,0,1,4,1,2,2
7,0,0,1,0,1,Augsburg,Bochum,1.72,2.1,1.5909090909090908,1.09375,7,5,0,2,3,3,0,2,1,0,2
8,1,0,0,1,0,M'gladbach,Dortmund,1.57,2.37,1.25,1.8604651162790697,10,12,2,0,3,3,0,2,3,0,2
9,0,1,0,1,0,Union Berlin,Augsburg,1.87,2.03,2.709677419354839,0.7000000000000001,7,9,2,1,2,0,2,3,0,2,3
10,1,0,0,0,1,Schalke 04,Mainz,1.72,2.1,1.1029411764705883,1.829268292682927,3,9,1,0,4,2,0,3,2,3,0
11,1,0,0,1,0,RB Leipzig,Freiburg,1.66,2.2,2.3255813953488373,0.8888888888888888,14,7,4,1,0,3,0,2,3,2,0
12,1,0,0,1,0,Ein Frankfurt,Hoffenheim,1.57,2.37,2.0,1.0133333333333332,15,7,4,0,1,1,1,3,3,1,1
13,0,0,1,1,0,FC Koln,Leverkusen,1.66,2.2,1.25,1.7045454545454544,5,10,1,1,3,2,1,2,1,1,3
14,1,0,0,1,0,Stuttgart,Hertha,1.72,2.1,1.9487179487179487,1.0133333333333332,9,7,3,0,2,1,0,4,2,2,1
15,1,0,0,1,0,Bochum,M'gladbach,1.72,2.1,1.09375,1.5555555555555556,5,8,2,0,3,1,1,3,1,0,2
16,1,0,0,1,0,Bayern Munich,Werder Bremen,1.22,4.33,8.333333333333334,0.6333333333333333,22,4,5,0,0,2,0,3,4,1,0
17,1,0,0,0,1,Wolfsburg,Dortmund,1.72,2.1,1.1612903225806452,1.6363636363636362,13,10,3,2,0,3,0,2,1,0,4
18,1,0,0,0,1,Freiburg,FC Koln,1.72,2.1,2.3529411764705883,0.8421052631578947,8,6,3,1,1,1,1,3,3,1,1
19,1,0,0,1,0,Leverkusen,Union Berlin,2.0,1.9,1.5813953488372092,1.0,12,6,2,1,2,3,0,2,1,3,1
20,1,0,0,1,0,Werder Bremen,Schalke 04,1.61,2.3,2.6242424242424245,0.9622222222222222,5,2,3,0,2,0,0,5,3,1,1
