,FTR,HomeTeam,AwayTeam,FTHG,FTAG
0,H,Man United,West Ham,1.0,0.0
1,H,Arsenal,Nott'm Forest,5.0,0.0
2,A,Liverpool,Leeds,1.0,2.0
3,D,Fulham,Everton,0.0,0.0
4,H,Newcastle,Aston Villa,4.0,0.0
5,H,Crystal Palace,Southampton,1.0,0.0
6,H,Brighton,Chelsea,4.0,1.0
7,D,Brentford,Wolves,1.0,1.0
8,A,Bournemouth,Tottenham,2.0,3.0
9,A,Leicester,Man City,0.0,1.0
10,H,West Ham,Bournemouth,2.0,0.0
11,A,Tottenham,Newcastle,1.0,2.0
12,A,Wolves,Leicester,0.0,4.0
13,D,Southampton,Arsenal,1.0,1.0
14,A,Leeds,Fulham,2.0,3.0
15,H,Aston Villa,Brentford,4.0,0.0
16,D,Chelsea,Man United,1.0,1.0
17,H,Man City,Brighton,3.0,1.0
18,H,Everton,Crystal Palace,3.0,0.0
19,H,Nott'm Forest,Liverpool,1.0,0.0
20,H,Leicester,Leeds,2.0,0.0
21,H,Fulham,Aston Villa,3.0,0.0
22,H,Man United,Tottenham,2.0,0.0
23,H,Newcastle,Everton,1.0,0.0
24,H,Liverpool,West Ham,1.0,0.0
25,D,Brentford,Chelsea,0.0,0.0
26,A,Bournemouth,Southampton,0.0,1.0
27,H,Crystal Palace,Wolves,2.0,1.0
28,D,Brighton,Nott'm Forest,0.0,0.0
29,H,Liverpool,Man City,1.0,0.0
30,D,Southampton,West Ham,1.0,1.0
31,D,Man United,Newcastle,0.0,0.0
32,A,Leeds,Arsenal,0.0,1.0
33,A,Aston Villa,Chelsea,0.0,2.0
34,H,Tottenham,Everton,2.0,0.0
35,H,Wolves,Nott'm Forest,1.0,0.0
36,D,Fulham,Bournemouth,2.0,2.0
37,D,Leicester,Crystal Palace,0.0,0.0
38,H,Brentford,Brighton,2.0,0.0
39,D,Nott'm Forest,Aston Villa,1.0,1.0
40,A,Everton,Man United,1.0,2.0
41,H,Arsenal,Liverpool,3.0,2.0
42,H,West Ham,Fulham,3.0,1.0
43,H,Crystal Palace,Leeds,2.0,1.0
44,A,Brighton,Tottenham,0.0,1.0
45,H,Newcastle,Brentford,5.0,1.0
46,H,Man City,Southampton,4.0,0.0
47,H,Chelsea,Wolves,3.0,0.0
48,H,Bournemouth,Leicester,2.0,1.0
49,H,Leicester,Nott'm Forest,4.0,0.0
50,D,Leeds,Aston Villa,0.0,0.0
51,H,Man City,Man United,6.0,3.0
52,H,West Ham,Wolves,2.0,0.0
53,A,Southampton,Everton,1.0,2.0
54,D,Liverpool,Brighton,3.0,3.0
55,A,Fulham,Newcastle,1.0,4.0
56,A,Crystal Palace,Chelsea,1.0,2.0
57,D,Bournemouth,Brentford,0.0,0.0
58,H,Arsenal,Tottenham,3.0,1.0
59,H,Everton,West Ham,1.0,0.0
60,A,Brentford,Arsenal,0.0,3.0
61,H,Tottenham,Leicester,6.0,2.0
62,D,Newcastle,Bournemouth,1.0,1.0
63,A,Wolves,Man City,0.0,3.0
64,A,Nott'm Forest,Fulham,2.0,3.0
65,H,Aston Villa,Southampton,1.0,0.0
66,H,Man United,Arsenal,3.0,1.0
67,H,Brighton,Leicester,5.0,2.0
68,D,Aston Villa,Man City,1.0,1.0
69,H,Wolves,Southampton,1.0,0.0
70,H,Tottenham,Fulham,2.0,1.0
71,A,Nott'm Forest,Bournemouth,2.0,3.0
72,D,Newcastle,Crystal Palace,0.0,0.0
73,H,Chelsea,West Ham,2.0,1.0
74,H,Brentford,Leeds,5.0,2.0
75,D,Everton,Liverpool,0.0,0.0
76,A,Leicester,Man United,0.0,1.0
77,H,Liverpool,Newcastle,2.0,1.0
78,D,West Ham,Tottenham,1.0,1.0
79,H,Man City,Nott'm Forest,6.0,0.0
80,D,Bournemouth,Wolves,0.0,0.0
81,H,Arsenal,Aston Villa,2.0,1.0
82,D,Leeds,Everton,1.0,1.0
83,H,Southampton,Chelsea,2.0,1.0
84,H,Fulham,Brighton,2.0,1.0
85,D,Crystal Palace,Brentford,1.0,1.0
86,A,Nott'm Forest,Tottenham,0.0,2.0
87,D,Wolves,Newcastle,1.0,1.0
88,A,Aston Villa,West Ham,0.0,1.0
89,H,Arsenal,Fulham,2.0,1.0
90,H,Man City,Crystal Palace,4.0,2.0
91,H,Liverpool,Bournemouth,9.0,0.0
92,H,Chelsea,Leicester,2.0,1.0
93,H,Brighton,Leeds,1.0,0.0
94,D,Brentford,Everton,1.0,1.0
95,A,Southampton,Man United,0.0,1.0
96,H,Man United,Liverpool,2.0,1.0
97,D,Newcastle,Man City,3.0,3.0
98,A,West Ham,Brighton,0.0,2.0
99,H,Leeds,Chelsea,3.0,0.0
100,A,Bournemouth,Arsenal,0.0,3.0
101,A,Leicester,Southampton,1.0,2.0
102,H,Fulham,Brentford,3.0,2.0
103,D,Everton,Nott'm Forest,1.0,1.0
104,H,Crystal Palace,Aston Villa,3.0,1.0
105,H,Tottenham,Wolves,1.0,0.0
106,D,Liverpool,Crystal Palace,1.0,1.0
107,D,Chelsea,Tottenham,2.0,2.0
108,H,Nott'm Forest,West Ham,1.0,0.0
109,H,Brentford,Man United,4.0,0.0
110,D,Wolves,Fulham,0.0,0.0
111,D,Southampton,Leeds,2.0,2.0
112,H,Man City,Bournemouth,4.0,0.0
113,D,Brighton,Newcastle,0.0,0.0
114,H,Arsenal,Leicester,4.0,2.0
115,H,Aston Villa,Everton,2.0,1.0
116,A,West Ham,Man City,0.0,2.0
117,A,Man United,Brighton,1.0,2.0
118,D,Leicester,Brentford,2.0,2.0
119,A,Everton,Chelsea,0.0,1.0
120,H,Tottenham,Southampton,4.0,1.0
121,H,Newcastle,Nott'm Forest,2.0,0.0
122,H,Leeds,Wolves,2.0,1.0
123,H,Bournemouth,Aston Villa,2.0,0.0
124,D,Fulham,Liverpool,2.0,2.0
125,A,Crystal Palace,Arsenal,0.0,2.0
126,A,Norwich,Tottenham,0.0,5.0
127,H,Man City,Aston Villa,3.0,2.0
128,H,Liverpool,Wolves,3.0,1.0
129,H,Leicester,Southampton,4.0,1.0
130,H,Crystal Palace,Man United,1.0,0.0
131,H,Chelsea,Watford,2.0,1.0
132,A,Burnley,Newcastle,1.0,2.0
133,H,Brighton,West Ham,3.0,1.0
134,A,Brentford,Leeds,1.0,2.0
135,H,Arsenal,Everton,5.0,1.0
136,D,Chelsea,Leicester,1.0,1.0
137,D,Aston Villa,Burnley,1.0,1.0
138,H,Everton,Crystal Palace,3.0,2.0
139,A,Southampton,Liverpool,1.0,2.0
140,H,Newcastle,Arsenal,2.0,0.0
141,A,Everton,Brentford,2.0,3.0
142,D,Wolves,Norwich,1.0,1.0
143,D,West Ham,Man City,2.0,2.0
144,A,Watford,Leicester,1.0,5.0
145,D,Leeds,Brighton,1.0,1.0
146,D,Aston Villa,Crystal Palace,1.0,1.0
147,H,Tottenham,Burnley,1.0,0.0
148,H,Tottenham,Arsenal,3.0,0.0
149,A,Wolves,Man City,1.0,5.0
150,D,Watford,Everton,0.0,0.0
151,H,Leicester,Norwich,3.0,0.0
152,A,Leeds,Chelsea,0.0,3.0
153,A,Aston Villa,Liverpool,1.0,2.0
154,H,Man City,Newcastle,5.0,0.0
155,A,Norwich,West Ham,0.0,4.0
156,A,Leicester,Everton,1.0,2.0
157,H,Arsenal,Leeds,2.0,1.0
158,D,Liverpool,Tottenham,1.0,1.0
159,H,Brighton,Man United,4.0,0.0
160,H,Crystal Palace,Watford,1.0,0.0
161,D,Chelsea,Wolves,2.0,2.0
162,A,Burnley,Aston Villa,1.0,3.0
163,H,Brentford,Southampton,3.0,0.0
164,H,Man United,Brentford,3.0,0.0
165,A,West Ham,Arsenal,1.0,2.0
166,H,Tottenham,Leicester,3.0,1.0
167,H,Everton,Chelsea,1.0,0.0
168,A,Leeds,Man City,0.0,4.0
169,A,Wolves,Brighton,0.0,3.0
170,A,Watford,Burnley,1.0,2.0
171,A,Southampton,Crystal Palace,1.0,2.0
172,H,Aston Villa,Norwich,2.0,0.0
173,A,Newcastle,Liverpool,0.0,1.0
174,D,Man United,Chelsea,1.0,1.0
175,D,Crystal Palace,Leeds,0.0,0.0
176,H,Liverpool,Everton,2.0,0.0
177,H,Chelsea,West Ham,1.0,0.0
178,H,Burnley,Wolves,1.0,0.0
179,D,Brighton,Southampton,2.0,2.0
180,D,Brentford,Tottenham,0.0,0.0
181,A,Norwich,Newcastle,0.0,3.0
182,H,Man City,Watford,5.0,1.0
183,D,Leicester,Aston Villa,0.0,0.0
184,H,Arsenal,Man United,3.0,1.0
185,H,Burnley,Southampton,2.0,0.0
186,H,Man City,Brighton,3.0,0.0
187,H,Newcastle,Crystal Palace,1.0,0.0
188,D,Everton,Leicester,1.0,1.0
189,A,Chelsea,Arsenal,2.0,4.0
190,H,Liverpool,Man United,4.0,0.0
191,D,West Ham,Burnley,1.0,1.0
192,H,Newcastle,Leicester,2.0,1.0
193,A,Watford,Brentford,1.0,2.0
194,H,Southampton,Arsenal,1.0,0.0
195,H,Man United,Norwich,3.0,2.0
196,A,Tottenham,Brighton,0.0,1.0
197,D,Man City,Liverpool,2.0,2.0
198,H,Norwich,Burnley,2.0,0.0
199,H,Leicester,Crystal Palace,2.0,1.0
200,H,Brentford,West Ham,2.0,0.0
201,A,Aston Villa,Tottenham,0.0,4.0
202,A,Watford,Leeds,0.0,3.0
203,A,Southampton,Chelsea,0.0,6.0
204,A,Arsenal,Brighton,1.0,2.0
205,H,Everton,Man United,1.0,0.0
206,H,Newcastle,Wolves,1.0,0.0
207,H,Burnley,Everton,3.0,2.0
208,H,Crystal Palace,Arsenal,3.0,0.0
209,H,Tottenham,Newcastle,5.0,1.0
210,H,West Ham,Everton,2.0,1.0
211,D,Man United,Leicester,1.0,1.0
212,H,Wolves,Aston Villa,2.0,1.0
213,D,Leeds,Southampton,1.0,1.0
214,A,Chelsea,Brentford,1.0,4.0
215,A,Burnley,Man City,0.0,2.0
216,D,Brighton,Norwich,0.0,0.0
217,H,Liverpool,Watford,2.0,0.0
218,H,Tottenham,West Ham,3.0,1.0
219,H,Leicester,Brentford,2.0,1.0
220,A,Aston Villa,Arsenal,0.0,1.0
221,A,Wolves,Leeds,2.0,3.0
222,H,Everton,Newcastle,1.0,0.0
223,A,Arsenal,Liverpool,0.0,2.0
224,A,Brighton,Tottenham,0.0,2.0
225,D,Crystal Palace,Man City,0.0,0.0
226,H,Arsenal,Leicester,2.0,0.0
227,H,West Ham,Aston Villa,2.0,1.0
228,A,Southampton,Watford,1.0,2.0
229,H,Leeds,Norwich,2.0,1.0
230,A,Everton,Wolves,0.0,1.0
231,H,Chelsea,Newcastle,1.0,0.0
232,H,Man United,Tottenham,3.0,2.0
233,H,Brentford,Burnley,2.0,0.0
234,A,Brighton,Liverpool,0.0,2.0
235,A,Leeds,Aston Villa,0.0,3.0
236,H,Wolves,Watford,4.0,0.0
237,A,Southampton,Newcastle,1.0,2.0
238,A,Norwich,Chelsea,1.0,3.0
239,H,Tottenham,Everton,5.0,0.0
240,H,Man City,Man United,4.0,1.0
241,A,Watford,Arsenal,2.0,3.0
242,H,Liverpool,West Ham,1.0,0.0
243,A,Wolves,Crystal Palace,0.0,2.0
244,A,Norwich,Brentford,1.0,3.0
245,H,Newcastle,Brighton,2.0,1.0
246,A,Burnley,Chelsea,0.0,4.0
247,H,Aston Villa,Southampton,4.0,0.0
248,H,Leicester,Leeds,1.0,0.0
249,A,Burnley,Leicester,0.0,2.0
250,H,West Ham,Wolves,1.0,0.0
251,A,Everton,Man City,0.0,1.0
252,A,Brighton,Aston Villa,0.0,2.0
253,D,Man United,Watford,0.0,0.0
254,D,Crystal Palace,Burnley,1.0,1.0
255,A,Brentford,Newcastle,0.0,2.0
256,A,Leeds,Tottenham,0.0,4.0
257,H,Southampton,Norwich,2.0,0.0
258,H,Arsenal,Wolves,2.0,1.0
259,H,Liverpool,Leeds,6.0,0.0
260,A,Watford,Crystal Palace,1.0,4.0
261,H,Burnley,Tottenham,1.0,0.0
262,H,Wolves,Leicester,2.0,1.0
263,A,Leeds,Man United,2.0,4.0
264,A,Man City,Tottenham,2.0,3.0
265,H,Southampton,Everton,2.0,0.0
266,H,Liverpool,Norwich,3.0,1.0
267,A,Crystal Palace,Chelsea,0.0,1.0
268,A,Brighton,Burnley,0.0,3.0
269,A,Aston Villa,Watford,0.0,1.0
270,H,Arsenal,Brentford,2.0,1.0
271,D,West Ham,Newcastle,1.0,1.0
272,H,Man United,Brighton,2.0,0.0
273,D,Leicester,West Ham,2.0,2.0
274,A,Tottenham,Wolves,0.0,2.0
275,H,Newcastle,Aston Villa,1.0,0.0
276,A,Burnley,Liverpool,0.0,1.0
277,A,Norwich,Man City,0.0,4.0
278,A,Watford,Brighton,0.0,2.0
279,H,Everton,Leeds,3.0,0.0
280,D,Brentford,Crystal Palace,0.0,0.0
281,D,Man United,Southampton,1.0,1.0
282,A,Wolves,Arsenal,0.0,1.0
283,H,Liverpool,Leicester,2.0,0.0
284,D,Aston Villa,Leeds,3.0,3.0
285,A,Tottenham,Southampton,2.0,3.0
286,D,Norwich,Crystal Palace,1.0,1.0
287,H,Man City,Brentford,2.0,0.0
288,D,Burnley,Man United,1.0,1.0
289,H,West Ham,Watford,1.0,0.0
290,H,Newcastle,Everton,3.0,1.0
291,D,Burnley,Watford,0.0,0.0
292,H,Chelsea,Tottenham,2.0,0.0
293,D,Leicester,Brighton,1.0,1.0
294,A,Crystal Palace,Liverpool,1.0,3.0
295,D,Arsenal,Burnley,0.0,0.0
296,D,Southampton,Man City,1.0,1.0
297,H,Man United,West Ham,1.0,0.0
298,A,Leeds,Newcastle,0.0,1.0
299,A,Brentford,Wolves,1.0,2.0
300,A,Everton,Aston Villa,0.0,1.0
301,A,Watford,Norwich,0.0,3.0
302,A,Brentford,Man United,1.0,3.0
303,A,Leicester,Tottenham,2.0,3.0
304,D,Brighton,Chelsea,1.0,1.0
305,A,West Ham,Leeds,2.0,3.0
306,H,Liverpool,Brentford,3.0,0.0
307,D,Aston Villa,Man United,2.0,2.0
308,H,Wolves,Southampton,3.0,1.0
309,H,Norwich,Everton,2.0,1.0
310,D,Newcastle,Watford,1.0,1.0
311,H,Man City,Chelsea,1.0,0.0
312,D,Brighton,Crystal Palace,1.0,1.0
313,H,West Ham,Norwich,2.0,0.0
314,H,Southampton,Brentford,4.0,1.0
315,A,Man United,Wolves,0.0,1.0
316,D,Chelsea,Liverpool,2.0,2.0
317,H,Leeds,Burnley,3.0,1.0
318,A,Everton,Brighton,2.0,3.0
319,H,Brentford,Aston Villa,2.0,1.0
320,A,Crystal Palace,West Ham,2.0,3.0
321,A,Watford,Tottenham,0.0,1.0
322,A,Arsenal,Man City,1.0,2.0
323,H,Man United,Burnley,3.0,1.0
324,A,Brentford,Man City,0.0,1.0
325,D,Chelsea,Brighton,1.0,1.0
326,H,Leicester,Liverpool,1.0,0.0
327,A,Watford,West Ham,1.0,4.0
328,D,Southampton,Tottenham,1.0,1.0
329,H,Crystal Palace,Norwich,3.0,0.0
330,D,Newcastle,Man United,1.0,1.0
331,H,Brighton,Brentford,2.0,0.0
332,A,Aston Villa,Chelsea,1.0,3.0
333,A,West Ham,Southampton,2.0,3.0
334,H,Tottenham,Crystal Palace,3.0,0.0
335,A,Norwich,Arsenal,0.0,5.0
336,H,Man City,Leicester,6.0,3.0
337,D,Tottenham,Liverpool,2.0,2.0
338,D,Wolves,Chelsea,0.0,0.0
339,A,Newcastle,Man City,0.0,4.0
340,A,Leeds,Arsenal,1.0,4.0
341,H,Liverpool,Newcastle,3.0,1.0
342,D,Chelsea,Everton,1.0,1.0
343,H,Arsenal,West Ham,2.0,0.0
344,D,Crystal Palace,Southampton,2.0,2.0
345,A,Brighton,Wolves,0.0,1.0
346,H,Man City,Leeds,7.0,0.0
347,A,Norwich,Aston Villa,0.0,2.0
348,H,Crystal Palace,Everton,3.0,1.0
349,H,Leicester,Newcastle,4.0,0.0
350,D,Burnley,West Ham,0.0,0.0
351,A,Norwich,Man United,0.0,1.0
352,H,Liverpool,Aston Villa,1.0,0.0
