,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
0,0,0,1,1,0,Fulham,Man United,1.61,2.3,1.0,2.0,8,7,2,1,2,3,1,1,0,1,4
1,0,0,1,1,0,Brighton,Aston Villa,1.96,1.94,2.0491803278688523,0.8928571428571428,9,9,2,1,2,3,0,2,1,1,3
2,0,0,1,0,1,Wolves,Arsenal,1.8,2.0,0.7000000000000001,2.709677419354839,4,10,0,1,4,4,1,0,2,0,3
3,1,0,0,0,1,Newcastle,Chelsea,1.98,1.92,1.4468085106382977,1.1333333333333333,12,2,5,0,0,0,2,3,1,0,4
4,0,0,1,0,1,West Ham,Leicester,1.99,1.91,1.6585365853658538,0.9066666666666666,3,10,1,0,4,4,0,1,3,1,1
5,1,0,0,1,0,Tottenham,Leeds,1.61,2.3,2.545454545454546,0.8842105263157896,9,11,2,0,3,2,0,3,4,0,1
6,1,0,0,0,1,Nott'm Forest,Crystal Palace,2.2,1.66,1.0,1.2653061224489794,4,5,2,2,1,3,0,2,1,0,0
7,1,0,0,1,0,Liverpool,Southampton,1.4,3.0,5.2,0.5909090909090909,7,4,3,0,2,1,1,3,4,0,1
8,1,0,0,1,0,Bournemouth,Everton,2.1,1.72,1.1607142857142858,1.25,8,3,1,0,4,1,1,3,3,1,1
9,0,0,1,1,0,Man City,Brentford,1.36,3.2,7.017543859649123,0.47058823529411764,7,5,3,0,2,1,3,1,2,0,1
10,0,0,1,1,0,Tottenham,Liverpool,1.66,2.2,1.090909090909091,1.7142857142857142,7,5,2,0,3,3,0,2,0,2,3
11,0,0,1,1,0,West Ham,Crystal Palace,2.1,1.72,1.7894736842105263,0.8095238095238094,4,5,1,1,3,3,1,1,2,2,1
12,0,0,1,1,0,Southampton,Newcastle,1.95,1.95,0.9,1.8947368421052633,4,11,1,2,2,4,1,0,1,1,3
13,1,0,0,1,0,Aston Villa,Man United,1.94,1.96,1.1515151515151516,1.8095238095238093,7,5,2,0,3,2,2,1,2,1,2
14,0,0,1,0,1,Chelsea,Arsenal,1.93,1.97,1.3333333333333335,1.259259259259259,4,11,1,2,2,4,1,0,1,0,4
15,0,0,1,0,1,Everton,Leicester,2.0,1.8,1.375,1.0999999999999999,3,8,1,1,3,3,1,1,2,2,1
16,0,0,1,1,0,Wolves,Brighton,2.1,1.72,1.0,1.4666666666666666,5,8,1,1,3,2,1,2,2,1,2
17,0,1,0,1,0,Nott'm Forest,Brentford,2.03,1.87,1.2,1.2692307692307692,3,5,1,2,2,1,3,1,0,1,0
18,1,0,0,1,0,Man City,Fulham,1.28,3.75,8.558558558558557,0.5,10,9,4,0,1,2,2,1,5,0,0
19,1,0,0,1,0,Leeds,Bournemouth,1.8,2.0,2.2093023255813953,0.7999999999999999,8,7,2,0,3,0,1,4,1,0,0
20,1,0,0,0,1,Man United,West Ham,1.86,2.04,2.4096385542168677,0.8333333333333334,6,6,3,2,0,2,1,2,5,0,0
21,1,0,0,1,0,Arsenal,Nott'm Forest,1.5,2.62,5.833333333333334,0.5833333333333334,13,2,4,1,0,1,2,2,1,0,0
22,0,0,1,1,0,Liverpool,Leeds,1.36,3.2,4.615384615384615,0.6666666666666666,5,5,2,0,3,1,0,4,3,1,1
23,0,1,0,0,1,Fulham,Everton,1.87,2.03,1.4345991561181433,1.1333333333333333,9,4,2,2,1,1,1,3,2,1,2
24,1,0,0,1,0,Newcastle,Aston Villa,1.94,1.96,2.0833333333333335,0.8333333333333334,12,5,4,1,0,1,1,3,2,1,2
25,1,0,0,0,1,Crystal Palace,Southampton,2.06,1.84,1.8947368421052633,0.9,5,3,3,1,1,1,2,2,3,1,1
26,1,0,0,1,0,Brighton,Chelsea,2.1,1.72,1.0999999999999999,1.375,5,7,1,1,3,2,2,1,1,3,1
27,0,1,0,0,1,Brentford,Wolves,2.01,1.89,1.5454545454545452,1.0303030303030303,4,3,1,2,2,1,1,3,1,1,1
28,0,0,1,1,0,Bournemouth,Tottenham,1.96,1.94,0.76,2.235294117647059,6,7,1,1,3,3,0,2,1,1,3
29,0,0,1,0,1,Leicester,Man City,1.44,2.75,0.65,5.2,7,14,2,1,2,4,0,1,1,0,4
30,1,0,0,0,1,West Ham,Bournemouth,2.01,1.89,2.5806451612903225,0.6666666666666666,8,4,3,1,1,1,2,2,2,1,2
31,0,0,1,1,0,Tottenham,Newcastle,1.92,1.98,1.707317073170732,1.0,5,12,2,0,3,4,1,0,2,2,1
32,0,0,1,1,0,Wolves,Leicester,2.0,1.9,1.4444444444444444,1.0,2,11,1,0,4,3,1,1,1,1,3
33,0,1,0,0,1,Southampton,Arsenal,1.66,2.2,0.6666666666666666,2.5477707006369426,4,11,1,2,2,4,1,0,1,2,2
34,0,0,1,1,0,Leeds,Fulham,1.72,2.1,1.707317073170732,0.9722222222222222,3,10,0,1,4,2,1,2,2,0,1
35,1,0,0,1,0,Aston Villa,Brentford,1.94,1.96,1.6666666666666665,1.0,5,3,1,2,2,1,2,2,1,1,1
36,0,1,0,0,1,Chelsea,Man United,1.91,1.99,1.707317073170732,1.0,8,8,3,2,0,2,2,1,0,5,0
37,1,0,0,1,0,Man City,Brighton,1.44,2.75,5.833333333333334,0.5384615384615384,16,4,4,0,1,0,2,3,4,0,1
38,1,0,0,1,0,Everton,Crystal Palace,2.2,1.66,1.2307692307692308,1.1149825783972125,6,5,2,0,3,2,1,2,3,1,1
39,1,0,0,0,1,Nott'm Forest,Liverpool,1.5,2.62,0.5454545454545454,4.8,2,7,1,2,2,2,1,2,1,0,0
40,1,0,0,0,1,Leicester,Leeds,1.72,2.1,1.6,1.2,9,3,2,1,2,0,1,4,3,1,1
41,1,0,0,1,0,Fulham,Aston Villa,2.0,1.9,1.1379310344827587,1.3199999999999998,10,2,2,1,2,1,2,2,3,0,2
42,1,0,0,0,1,Man United,Tottenham,1.72,2.1,1.4285714285714284,1.2727272727272727,10,10,3,1,1,3,0,2,4,0,1
43,1,0,0,0,1,Newcastle,Everton,1.92,1.98,2.3749999999999996,0.6608695652173913,11,4,3,2,0,2,0,3,4,0,1
44,1,0,0,0,1,Liverpool,West Ham,1.5,2.62,3.5714285714285716,0.7142857142857143,7,6,2,2,1,2,1,2,4,0,1
45,0,1,0,0,1,Brentford,Chelsea,1.88,2.02,0.7999999999999999,2.2093023255813953,3,9,1,2,2,4,1,0,1,1,1
46,0,0,1,0,1,Bournemouth,Southampton,2.0,1.8,1.2595419847328244,1.2595419847328244,5,3,1,3,1,1,1,3,1,2,2
47,1,0,0,1,0,Crystal Palace,Wolves,2.5,1.53,1.3777777777777778,0.911764705882353,5,2,2,2,1,1,0,4,4,0,1
48,0,1,0,0,1,Brighton,Nott'm Forest,1.72,2.1,3.3928571428571432,0.6785714285714286,8,3,1,2,2,0,2,3,0,1,0
49,1,0,0,0,1,Liverpool,Man City,1.44,2.75,1.1111111111111112,2.1052631578947367,8,14,2,2,1,3,1,1,1,3,1
50,0,1,0,0,1,Southampton,West Ham,2.0,1.9,1.1724137931034482,1.4166666666666667,2,7,0,1,4,2,1,2,1,3,1
51,0,1,0,0,1,Man United,Newcastle,1.72,2.1,1.9487179487179487,1.0857142857142856,9,10,3,1,1,2,3,0,3,2,0
52,0,0,1,0,1,Leeds,Arsenal,1.61,2.3,0.7000000000000001,2.709677419354839,4,11,0,2,3,4,0,1,0,1,4
53,0,0,1,0,1,Aston Villa,Chelsea,2.03,1.87,0.8660508083140878,2.0833333333333335,3,10,1,3,1,4,0,1,1,1,3
54,1,0,0,0,1,Tottenham,Everton,1.72,2.1,3.0,0.6923076923076923,12,4,4,0,1,2,1,2,2,2,1
55,1,0,0,0,1,Wolves,Nott'm Forest,2.06,1.84,2.2058823529411766,0.75,2,5,2,0,3,0,1,4,1,0,0
56,0,1,0,1,0,Fulham,Bournemouth,1.96,1.94,2.0270270270270268,0.9375,8,8,1,1,3,2,3,0,1,1,1
57,0,1,0,0,1,Leicester,Crystal Palace,1.89,2.01,1.4782608695652175,1.096774193548387,9,4,1,1,3,1,3,1,2,3,0
58,1,0,0,0,1,Brentford,Brighton,1.97,1.93,1.096774193548387,1.4782608695652175,8,9,2,1,2,1,1,3,1,0,2
59,0,1,0,0,1,Nott'm Forest,Aston Villa,2.03,1.87,1.0303030303030303,1.5454545454545452,5,4,0,1,4,1,3,1,0,1,0
60,0,0,1,1,0,Everton,Man United,1.88,2.02,0.9722222222222222,1.707317073170732,5,10,2,2,1,4,0,1,1,2,2
61,1,0,0,1,0,Arsenal,Liverpool,1.57,2.37,1.44,1.3740458015267176,12,16,4,0,1,2,2,1,1,0,4
