,FTR,HomeTeam,AwayTeam,FTHG,FTAG
0,H,Real Madrid,Cadiz,2,1
1,H,Valencia,Betis,3,0
2,D,Vallecano,Celta,0,0
3,H,Mallorca,Ath Madrid,1,0
4,A,Espanol,Villarreal,0,1
5,A,Sevilla,Sociedad,1,2
6,H,Almeria,Getafe,1,0
7,A,Osasuna,Barcelona,1,2
8,H,Ath Bilbao,Valladolid,3,0
9,A,Elche,Girona,1,2
10,H,Vallecano,Real Madrid,3,2
11,D,Betis,Sevilla,1,1
12,A,Villarreal,Mallorca,0,2
13,D,Sociedad,Valencia,1,1
14,D,Ath Madrid,Espanol,1,1
15,H,Barcelona,Almeria,2,0
16,A,Celta,Osasuna,1,2
17,H,Valladolid,Elche,2,1
18,D,Getafe,Cadiz,0,0
19,H,Girona,Ath Bilbao,2,1
20,A,Elche,Getafe,0,1
21,A,Sociedad,Betis,0,2
22,H,Ath Bilbao,Villarreal,1,0
23,D,Real Madrid,Girona,1,1
24,H,Osasuna,Valladolid,2,0
25,A,Valencia,Barcelona,0,1
26,A,Sevilla,Vallecano,0,1
27,H,Cadiz,Ath Madrid,3,2
28,H,Almeria,Celta,3,1
29,D,Mallorca,Espanol,1,1
30,D,Celta,Getafe,1,1
31,H,Barcelona,Ath Bilbao,4,0
32,H,Villarreal,Almeria,2,1
33,D,Girona,Osasuna,1,1
34,A,Betis,Ath Madrid,1,2
35,D,Espanol,Elche,2,2
36,H,Real Madrid,Sevilla,3,1
37,A,Valencia,Mallorca,1,2
38,H,Valladolid,Sociedad,1,0
39,H,Vallecano,Cadiz,5,1
40,H,Barcelona,Villarreal,3,0
41,H,Osasuna,Espanol,1,0
42,H,Almeria,Girona,3,2
43,A,Elche,Real Madrid,0,3
44,H,Sociedad,Mallorca,1,0
45,H,Valladolid,Celta,4,1
46,D,Cadiz,Betis,0,0
47,D,Ath Madrid,Vallecano,1,1
48,D,Getafe,Ath Bilbao,2,2
49,D,Sevilla,Valencia,1,1
50,H,Villarreal,Osasuna,2,0
51,H,Betis,Almeria,3,1
52,H,Espanol,Valladolid,1,0
53,H,Real Madrid,Barcelona,3,1
54,A,Celta,Sociedad,1,2
55,A,Ath Bilbao,Ath Madrid,0,1
56,A,Mallorca,Sevilla,0,1
57,D,Valencia,Elche,2,2
58,D,Girona,Cadiz,1,1
59,D,Vallecano,Getafe,0,0
60,D,Elche,Mallorca,1,1
61,H,Barcelona,Celta,1,0
62,H,Sociedad,Villarreal,1,0
63,D,Cadiz,Espanol,2,2
64,D,Valladolid,Betis,0,0
65,A,Getafe,Real Madrid,0,1
66,D,Sevilla,Ath Bilbao,1,1
67,H,Ath Madrid,Girona,2,1
68,H,Almeria,Vallecano,3,1
69,A,Osasuna,Valencia,1,2
70,H,Vallecano,Elche,2,1
71,D,Real Madrid,Osasuna,1,1
72,A,Girona,Sociedad,3,5
73,H,Celta,Betis,1,0
74,D,Espanol,Valencia,2,2
75,A,Mallorca,Barcelona,0,1
76,A,Sevilla,Ath Madrid,0,2
77,A,Getafe,Valladolid,2,3
78,D,Cadiz,Villarreal,0,0
79,H,Ath Bilbao,Almeria,4,0
80,A,Ath Madrid,Real Madrid,1,2
81,H,Sociedad,Espanol,2,1
82,H,Betis,Girona,2,1
83,D,Villarreal,Sevilla,1,1
84,A,Osasuna,Getafe,0,2
85,H,Ath Bilbao,Vallecano,3,2
86,H,Valencia,Celta,3,0
87,H,Barcelona,Elche,3,0
88,H,Mallorca,Almeria,1,0
89,A,Valladolid,Cadiz,0,1
90,A,Almeria,Osasuna,0,1
91,H,Betis,Villarreal,1,0
92,H,Getafe,Sociedad,2,1
93,A,Elche,Ath Bilbao,1,4
94,H,Real Madrid,Mallorca,4,1
95,H,Ath Madrid,Celta,4,1
96,A,Cadiz,Barcelona,0,4
97,A,Espanol,Sevilla,2,3
98,H,Vallecano,Valencia,2,1
99,H,Girona,Valladolid,2,1
100,H,Valladolid,Almeria,1,0
101,H,Valencia,Getafe,5,1
102,H,Villarreal,Elche,4,0
103,A,Ath Bilbao,Espanol,0,1
104,H,Osasuna,Vallecano,2,1
105,A,Sevilla,Barcelona,0,3
106,D,Sociedad,Ath Madrid,1,1
107,H,Real Madrid,Betis,2,1
108,D,Mallorca,Girona,1,1
109,H,Celta,Cadiz,3,0
110,A,Valencia,Ath Madrid,0,1
111,A,Cadiz,Ath Bilbao,0,4
112,A,Espanol,Real Madrid,1,3
113,H,Barcelona,Valladolid,4,0
114,D,Getafe,Villarreal,0,0
115,H,Almeria,Sevilla,2,1
116,A,Vallecano,Mallorca,0,2
117,A,Elche,Sociedad,0,1
118,H,Betis,Osasuna,1,0
119,A,Girona,Celta,0,1
120,H,Girona,Getafe,3,1
121,D,Elche,Almeria,1,1
122,A,Sociedad,Barcelona,1,4
123,A,Ath Madrid,Villarreal,0,2
124,H,Ath Bilbao,Valencia,1,0
125,A,Celta,Real Madrid,1,4
126,A,Mallorca,Betis,1,2
127,H,Osasuna,Cadiz,2,0
128,D,Sevilla,Valladolid,1,1
129,A,Espanol,Vallecano,0,2
130,H,Betis,Elche,3,0
131,A,Getafe,Ath Madrid,0,3
132,D,Ath Bilbao,Mallorca,0,0
133,A,Almeria,Real Madrid,1,2
134,H,Valencia,Girona,1,0
135,A,Cadiz,Sociedad,0,1
136,D,Barcelona,Vallecano,0,0
137,A,Valladolid,Villarreal,0,3
138,D,Celta,Espanol,2,2
139,H,Osasuna,Sevilla,2,1
140,A,Sociedad,Ath Madrid,1,2
141,H,Sevilla,Ath Bilbao,1,0
142,A,Barcelona,Villarreal,0,2
143,A,Osasuna,Mallorca,0,2
144,D,Granada,Espanol,0,0
145,A,Alaves,Cadiz,0,1
146,H,Elche,Getafe,3,1
147,H,Valencia,Celta,2,0
148,A,Vallecano,Levante,2,4
149,D,Real Madrid,Betis,0,0
150,A,Villarreal,Sociedad,1,2
151,H,Mallorca,Vallecano,2,1
152,H,Levante,Alaves,3,1
153,D,Getafe,Barcelona,0,0
154,H,Celta,Elche,1,0
155,D,Cadiz,Real Madrid,1,1
156,H,Betis,Granada,2,0
157,D,Ath Madrid,Sevilla,1,1
158,H,Ath Bilbao,Osasuna,2,0
159,D,Espanol,Valencia,1,1
160,H,Real Madrid,Levante,6,0
161,A,Vallecano,Villarreal,1,5
162,H,Sociedad,Cadiz,3,0
163,A,Elche,Ath Madrid,0,2
164,D,Sevilla,Mallorca,0,0
