,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
0,1,0,0,1,0,Real Madrid,Cadiz,1.44,2.75,7.4561403508771935,0.5666666666666667,11,5,3,1,1,1,2,2,2,2,1
1,1,0,0,1,0,Valencia,Betis,2.1,1.72,1.6190476190476188,0.9444444444444444,6,4,1,2,2,1,2,2,1,1,3
2,0,1,0,0,1,Vallecano,Celta,2.2,1.66,1.4545454545454546,0.9142857142857144,10,4,3,2,0,0,2,3,1,3,1
3,1,0,0,0,1,Mallorca,Ath Madrid,2.5,1.53,0.8157894736842106,1.4761904761904763,6,6,3,1,1,1,2,2,3,0,2
4,0,0,1,0,1,Espanol,Villarreal,2.1,1.72,1.0,1.350210970464135,4,3,0,3,2,2,0,3,1,1,3
5,0,0,1,1,0,Sevilla,Sociedad,2.3,1.61,1.2307692307692308,1.142857142857143,4,4,0,2,3,2,1,2,2,2,1
6,1,0,0,0,1,Almeria,Getafe,2.37,1.57,1.5348837209302326,0.9428571428571428,8,4,3,0,2,1,3,1,3,1,1
7,0,0,1,1,0,Osasuna,Barcelona,1.72,2.1,0.7304347826086957,2.7450980392156863,7,12,3,1,1,5,0,0,0,1,4
8,1,0,0,1,0,Ath Bilbao,Valladolid,1.72,2.1,3.2142857142857144,0.6,7,7,2,1,2,3,0,2,2,2,1
9,0,0,1,1,0,Elche,Girona,2.1,1.72,1.0153846153846153,1.4999999999999998,4,8,0,1,4,2,2,1,0,0,1
10,1,0,0,1,0,Vallecano,Real Madrid,1.72,2.1,0.8842105263157896,2.545454545454546,10,12,3,2,0,3,1,1,2,0,3
11,0,1,0,0,1,Betis,Sevilla,2.1,1.72,1.4545454545454546,0.888888888888889,7,4,2,2,1,1,2,2,0,2,3
12,0,0,1,0,1,Villarreal,Mallorca,2.1,1.72,2.5477707006369426,0.6956521739130435,4,5,2,0,3,2,1,2,2,1,2
13,0,1,0,0,1,Sociedad,Valencia,2.1,1.72,1.7435897435897436,0.85,4,5,2,1,2,0,3,2,0,4,1
14,0,1,0,0,1,Ath Madrid,Espanol,2.0,1.8,3.125,0.5625,7,5,2,2,1,1,3,1,3,2,0
15,1,0,0,0,1,Barcelona,Almeria,1.28,3.75,9.25925925925926,0.38461538461538464,11,8,4,0,1,2,0,3,5,0,0
16,0,0,1,1,0,Celta,Osasuna,2.2,1.66,1.5714285714285712,0.88,5,6,0,1,4,3,1,1,2,1,2
17,1,0,0,1,0,Valladolid,Elche,1.96,1.94,1.9672131147540983,0.8314087759815243,7,5,3,0,2,0,2,3,1,4,0
18,0,1,0,0,1,Getafe,Cadiz,2.75,1.44,1.409090909090909,0.8266666666666667,4,5,1,4,0,1,3,1,2,2,1
19,1,0,0,1,0,Girona,Ath Bilbao,2.0,1.9,0.9333333333333333,1.75,7,4,1,3,1,1,1,3,2,0,3
20,0,0,1,0,1,Elche,Getafe,2.62,1.5,1.111111111111111,1.0452961672473868,5,4,0,3,2,1,3,1,2,1,2
21,0,0,1,0,1,Sociedad,Betis,2.06,1.84,1.75,0.9210526315789475,4,6,3,0,2,2,2,1,1,2,2
22,1,0,0,0,1,Ath Bilbao,Villarreal,2.0,1.9,1.4999999999999998,0.9705882352941176,4,4,1,2,2,2,0,3,2,3,0
23,0,1,0,0,1,Real Madrid,Girona,1.44,2.75,5.416666666666667,0.5,11,6,4,1,0,0,3,2,2,1,2
24,1,0,0,0,1,Osasuna,Valladolid,2.2,1.66,1.7894736842105263,0.7852193995381062,5,5,2,1,2,2,1,2,1,3,1
25,0,0,1,0,1,Valencia,Barcelona,1.57,2.37,0.866,2.7579617834394905,6,10,1,2,2,4,0,1,0,1,4
26,0,0,1,0,1,Sevilla,Vallecano,2.1,1.72,1.65,0.825,4,8,1,2,2,2,2,1,3,1,1
27,1,0,0,1,0,Cadiz,Ath Madrid,2.3,1.61,0.5142857142857143,2.25,7,8,1,3,1,3,1,1,1,0,4
28,1,0,0,1,0,Almeria,Celta,2.1,1.72,1.0,1.4666666666666666,11,4,3,0,2,0,1,4,2,1,2
29,0,1,0,0,1,Mallorca,Espanol,2.62,1.5,1.3777777777777778,0.911764705882353,4,6,1,2,2,1,3,1,2,1,2
30,0,1,0,0,1,Celta,Getafe,2.3,1.61,2.0,0.7,4,5,1,1,3,0,3,2,2,2,1
31,1,0,0,1,0,Barcelona,Ath Bilbao,1.61,2.3,2.903225806451613,0.8181818181818182,10,7,4,0,1,1,2,2,4,1,0
32,1,0,0,1,0,Villarreal,Almeria,1.72,2.1,3.492647058823529,0.5277777777777778,4,8,2,1,2,2,0,3,4,1,0
33,0,1,0,0,1,Girona,Osasuna,2.2,1.66,1.254901960784314,1.103448275862069,8,4,0,2,3,1,2,2,0,1,0
34,0,0,1,1,0,Betis,Ath Madrid,2.2,1.66,1.0312499999999998,1.434782608695652,4,8,1,2,2,4,1,0,0,1,4
35,0,1,0,1,0,Espanol,Elche,2.0,1.9,2.2590361445783134,0.7142857142857143,7,6,1,3,1,0,3,2,0,3,2
36,1,0,0,1,0,Real Madrid,Sevilla,1.57,2.37,3.492647058823529,0.5588235294117647,11,4,4,1,0,1,2,2,4,1,0
37,0,0,1,1,0,Valencia,Mallorca,2.2,1.66,2.0,0.7,8,3,1,3,1,1,1,3,2,1,2
38,1,0,0,0,1,Valladolid,Sociedad,2.1,1.72,0.9444444444444444,1.6585365853658538,8,9,3,1,1,4,0,1,1,2,2
39,1,0,0,1,0,Vallecano,Cadiz,2.2,1.66,2.0348837209302326,0.6666666666666666,9,4,2,2,1,0,4,1,2,0,1
40,1,0,0,1,0,Barcelona,Villarreal,1.53,2.5,3.0,0.75,9,3,4,0,1,1,2,2,4,0,1
41,1,0,0,0,1,Osasuna,Espanol,2.1,1.72,1.75609756097561,1.0285714285714287,3,6,1,1,3,1,2,2,3,2,0
42,1,0,0,1,0,Almeria,Girona,2.1,1.72,1.25,1.1607142857142858,7,8,2,0,3,0,1,4,1,0,0
43,0,0,1,1,0,Elche,Real Madrid,1.5,2.62,0.6764705882352942,4.423076923076923,4,10,0,2,3,4,1,0,0,2,3
44,1,0,0,0,1,Sociedad,Mallorca,2.1,1.72,2.5806451612903225,0.6153846153846154,11,2,5,0,0,1,1,3,5,0,0
