,FTR,HomeTeam,AwayTeam,FTHG,FTAG
0,A,Monaco,Marseille,2.0,3.0
1,D,Strasbourg,Lorient,1.0,1.0
2,D,Nantes,Ajaccio,2.0,2.0
3,D,Montpellier,Reims,1.0,1.0
4,H,Lille,Angers,1.0,0.0
5,H,Brest,Troyes,2.0,1.0
6,H,Paris SG,Auxerre,5.0,0.0
7,H,Rennes,Toulouse,2.0,1.0
8,H,Lens,Clermont,2.0,1.0
9,D,Lyon,Nice,1.0,1.0
10,H,Marseille,Lyon,1.0,0.0
11,D,Lille,Rennes,1.0,1.0
12,A,Toulouse,Monaco,0.0,2.0
13,H,Reims,Nantes,1.0,0.0
14,H,Nice,Brest,1.0,0.0
15,D,Clermont,Montpellier,1.0,1.0
16,A,Lorient,Paris SG,1.0,2.0
17,A,Angers,Lens,1.0,2.0
18,H,Ajaccio,Strasbourg,4.0,2.0
19,D,Troyes,Auxerre,1.0,1.0
20,H,Lyon,Lille,1.0,0.0
21,A,Lorient,Nice,1.0,2.0
22,H,Rennes,Montpellier,3.0,0.0
23,D,Nantes,Clermont,1.0,1.0
24,H,Monaco,Angers,2.0,0.0
25,D,Brest,Reims,0.0,0.0
26,H,Auxerre,Ajaccio,1.0,0.0
27,D,Strasbourg,Marseille,2.0,2.0
28,H,Paris SG,Troyes,4.0,3.0
29,H,Lens,Toulouse,3.0,0.0
30,H,Lille,Monaco,4.0,3.0
31,D,Nice,Nantes,1.0,1.0
32,D,Troyes,Lorient,2.0,2.0
33,D,Toulouse,Strasbourg,2.0,2.0
34,H,Reims,Auxerre,2.0,1.0
35,A,Clermont,Brest,1.0,3.0
36,A,Angers,Rennes,1.0,2.0
37,A,Marseille,Lens,0.0,1.0
38,A,Montpellier,Lyon,1.0,2.0
39,A,Ajaccio,Paris SG,0.0,3.0
40,H,Paris SG,Marseille,1.0,0.0
41,D,Monaco,Clermont,1.0,1.0
42,D,Troyes,Ajaccio,1.0,1.0
43,H,Rennes,Lyon,3.0,2.0
44,H,Nantes,Brest,4.0,1.0
45,D,Auxerre,Nice,1.0,1.0
46,H,Toulouse,Angers,3.0,2.0
47,H,Lens,Montpellier,1.0,0.0
48,D,Lorient,Reims,0.0,0.0
49,A,Strasbourg,Lille,0.0,3.0
50,H,Lille,Lens,1.0,0.0
51,H,Rennes,Nantes,3.0,0.0
52,H,Nice,Troyes,3.0,2.0
53,H,Clermont,Auxerre,2.0,1.0
54,A,Brest,Lorient,1.0,2.0
55,A,Angers,Strasbourg,2.0,3.0
56,A,Montpellier,Monaco,0.0,2.0
57,D,Reims,Paris SG,0.0,0.0
58,A,Marseille,Ajaccio,1.0,2.0
59,D,Lyon,Toulouse,1.0,1.0
60,H,Lens,Lyon,1.0,0.0
61,H,Monaco,Nantes,4.0,1.0
62,D,Troyes,Reims,2.0,2.0
63,H,Toulouse,Montpellier,4.0,2.0
64,D,Auxerre,Brest,1.0,1.0
65,A,Ajaccio,Clermont,1.0,3.0
66,H,Lorient,Lille,2.0,1.0
67,H,Paris SG,Nice,2.0,1.0
68,A,Strasbourg,Rennes,1.0,3.0
69,A,Angers,Marseille,0.0,3.0
70,A,Lyon,Paris SG,0.0,1.0
71,D,Nantes,Lens,0.0,0.0
72,A,Nice,Angers,0.0,1.0
73,D,Marseille,Rennes,1.0,1.0
74,A,Clermont,Troyes,1.0,3.0
75,A,Brest,Ajaccio,0.0,1.0
76,A,Reims,Monaco,0.0,3.0
77,H,Lille,Toulouse,2.0,1.0
78,H,Montpellier,Strasbourg,2.0,1.0
79,A,Auxerre,Lorient,1.0,3.0
80,H,Monaco,Lyon,2.0,1.0
81,H,Rennes,Auxerre,5.0,0.0
82,H,Toulouse,Reims,1.0,0.0
83,H,Lorient,Nantes,3.0,2.0
84,H,Angers,Montpellier,2.0,1.0
85,A,Ajaccio,Nice,0.0,1.0
86,D,Strasbourg,Clermont,0.0,0.0
87,H,Marseille,Lille,2.0,1.0
88,H,Paris SG,Brest,1.0,0.0
89,H,Lens,Troyes,1.0,0.0
90,H,Lorient,Lyon,3.0,1.0
91,A,Nice,Monaco,0.0,1.0
92,D,Troyes,Rennes,1.0,1.0
93,D,Reims,Lens,1.0,1.0
94,H,Clermont,Toulouse,2.0,0.0
95,D,Brest,Strasbourg,1.0,1.0
96,A,Ajaccio,Lorient,0.0,1.0
97,A,Montpellier,Lille,1.0,3.0
98,A,Nantes,Paris SG,0.0,3.0
99,H,Lyon,Angers,5.0,0.0
100,A,Auxerre,Marseille,0.0,2.0
101,A,Toulouse,Paris SG,0.0,3.0
102,H,Rennes,Brest,3.0,1.0
103,H,Marseille,Clermont,1.0,0.0
104,A,Lille,Nice,1.0,2.0
105,H,Lens,Lorient,5.0,2.0
106,D,Strasbourg,Nantes,1.0,1.0
107,H,Montpellier,Ajaccio,2.0,0.0
108,A,Monaco,Troyes,2.0,4.0
109,H,Lyon,Auxerre,2.0,1.0
110,A,Angers,Reims,2.0,4.0
111,D,Paris SG,Monaco,1.0,1.0
112,D,Reims,Lyon,1.0,1.0
113,H,Troyes,Angers,3.0,1.0
114,A,Nice,Marseille,0.0,3.0
115,H,Lorient,Clermont,2.0,1.0
116,A,Brest,Montpellier,0.0,7.0
117,H,Nantes,Toulouse,3.0,1.0
118,H,Lens,Rennes,2.0,1.0
119,H,Auxerre,Strasbourg,1.0,0.0
120,A,Ajaccio,Lille,1.0,3.0
121,A,Lille,Paris SG,1.0,7.0
122,H,Rennes,Ajaccio,2.0,1.0
123,D,Toulouse,Lorient,2.0,2.0
124,A,Montpellier,Auxerre,1.0,2.0
125,H,Clermont,Nice,1.0,0.0
126,A,Angers,Brest,1.0,3.0
127,D,Strasbourg,Reims,1.0,1.0
128,H,Marseille,Nantes,2.0,1.0
129,A,Monaco,Lens,1.0,4.0
130,H,Lyon,Troyes,4.0,1.0
131,D,Brest,Marseille,1.0,1.0
132,D,Nice,Strasbourg,1.0,1.0
133,A,Troyes,Toulouse,0.0,3.0
134,A,Reims,Clermont,2.0,4.0
135,D,Auxerre,Angers,2.0,2.0
136,D,Ajaccio,Lens,0.0,0.0
137,H,Paris SG,Montpellier,5.0,2.0
138,D,Monaco,Rennes,1.0,1.0
139,D,Nantes,Lille,1.0,1.0
140,H,Marseille,Reims,4.0,1.0
141,A,Rennes,Lorient,0.0,1.0
142,H,Montpellier,Troyes,3.0,2.0
143,H,Lille,Auxerre,4.0,1.0
144,H,Lens,Brest,3.0,2.0
145,D,Angers,Nantes,0.0,0.0
146,D,Toulouse,Nice,1.0,1.0
147,A,Clermont,Paris SG,0.0,5.0
148,A,Strasbourg,Monaco,1.0,2.0
149,H,Lyon,Ajaccio,2.0,1.0
150,A,Reims,Nice,2.0,3.0
151,H,Paris SG,Metz,5.0,0.0
152,D,Nantes,St Etienne,1.0,1.0
153,H,Marseille,Strasbourg,4.0,0.0
154,D,Lorient,Troyes,1.0,1.0
155,D,Lille,Rennes,2.0,2.0
156,D,Lens,Monaco,2.0,2.0
157,A,Clermont,Lyon,1.0,2.0
158,A,Brest,Bordeaux,2.0,4.0
159,H,Angers,Montpellier,2.0,0.0
160,A,Troyes,Lens,1.0,3.0
161,H,Strasbourg,Clermont,1.0,0.0
162,A,St Etienne,Reims,1.0,2.0
163,H,Rennes,Marseille,2.0,0.0
164,A,Nice,Lille,1.0,3.0
165,A,Montpellier,Paris SG,0.0,4.0
166,H,Monaco,Brest,4.0,2.0
167,H,Metz,Angers,1.0,0.0
168,H,Lyon,Nantes,3.0,2.0
169,D,Bordeaux,Lorient,0.0,0.0
170,H,Nantes,Rennes,2.0,1.0
171,H,Nice,St Etienne,4.0,2.0
172,D,Paris SG,Troyes,2.0,2.0
173,A,Lorient,Marseille,0.0,3.0
174,A,Reims,Lens,1.0,2.0
175,H,Clermont,Montpellier,2.0,1.0
176,H,Angers,Bordeaux,4.0,1.0
177,H,Metz,Lyon,3.0,2.0
178,A,Brest,Strasbourg,0.0,1.0
179,A,Lille,Monaco,1.0,2.0
180,A,Marseille,Lyon,0.0,3.0
181,A,Bordeaux,Nice,0.0,1.0
182,D,Montpellier,Metz,2.0,2.0
183,H,Monaco,Angers,2.0,0.0
184,A,Lorient,Reims,1.0,2.0
185,H,Brest,Clermont,2.0,0.0
186,H,Troyes,Lille,3.0,0.0
187,H,Rennes,St Etienne,2.0,0.0
188,D,Lens,Nantes,2.0,2.0
189,D,Strasbourg,Paris SG,3.0,3.0
190,A,Reims,Marseille,0.0,1.0
191,H,Lille,Strasbourg,1.0,0.0
192,H,Nice,Troyes,1.0,0.0
193,H,Nantes,Bordeaux,5.0,3.0
194,A,Metz,Brest,0.0,1.0
195,D,Clermont,Angers,2.0,2.0
196,H,Rennes,Lorient,5.0,0.0
197,D,Paris SG,Lens,1.0,1.0
198,A,St Etienne,Monaco,1.0,4.0
199,H,Lyon,Montpellier,5.0,2.0
200,H,Strasbourg,Rennes,2.0,1.0
201,H,Marseille,Nantes,3.0,2.0
202,H,Lens,Montpellier,2.0,0.0
203,H,Brest,Lyon,2.0,1.0
204,A,Angers,Paris SG,0.0,3.0
205,A,Troyes,Clermont,0.0,1.0
206,H,Reims,Lille,2.0,1.0
207,H,Monaco,Nice,1.0,0.0
208,H,Lorient,Metz,1.0,0.0
209,D,Bordeaux,St Etienne,2.0,2.0
210,H,Paris SG,Marseille,2.0,1.0
211,H,Lyon,Bordeaux,6.0,1.0
212,D,Troyes,Strasbourg,1.0,1.0
213,D,Nantes,Angers,1.0,1.0
214,D,Montpellier,Reims,0.0,0.0
215,D,Metz,Clermont,1.0,1.0
216,H,Nice,Lorient,2.0,1.0
217,A,Lille,Lens,1.0,2.0
218,H,St Etienne,Brest,2.0,1.0
219,A,Rennes,Monaco,2.0,3.0
220,H,Marseille,Montpellier,2.0,0.0
221,D,Strasbourg,Lyon,1.0,1.0
222,H,Lens,Nice,3.0,0.0
223,H,Monaco,Troyes,2.0,1.0
224,D,Brest,Nantes,1.0,1.0
225,D,Angers,Lille,1.0,1.0
226,H,Bordeaux,Metz,3.0,1.0
227,A,Clermont,Paris SG,1.0,6.0
228,A,Reims,Rennes,2.0,3.0
229,H,Lorient,St Etienne,6.0,2.0
