,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
0,0,0,1,1,0,Monaco,Marseille,1.66,2.2,1.565217391304348,1.2413793103448276,10,6,2,1,2,2,1,2,2,0,3
1,0,1,0,0,1,Strasbourg,Lorient,1.8,2.0,1.627906976744186,1.0606060606060606,7,5,0,3,2,0,3,2,1,3,1
2,0,1,0,1,0,Nantes,Ajaccio,2.2,1.66,1.65,0.825,8,7,1,3,1,1,2,2,1,2,0
3,0,1,0,0,1,Montpellier,Reims,1.86,2.04,1.3599999999999999,1.2142857142857144,3,4,0,2,3,2,3,0,0,4,1
4,1,0,0,0,1,Lille,Angers,1.61,2.3,4.135338345864661,0.6470588235294118,9,4,3,1,1,0,0,5,2,2,1
5,1,0,0,1,0,Brest,Troyes,1.72,2.1,1.8,1.0285714285714287,6,8,2,1,2,0,3,2,3,1,1
6,1,0,0,1,0,Paris SG,Auxerre,1.25,4.0,9.009009009009008,0.5882352941176471,15,4,5,0,0,1,2,2,2,1,0
7,1,0,0,1,0,Rennes,Toulouse,1.61,2.3,3.0,0.75,11,6,4,1,0,1,1,3,3,2,0
8,1,0,0,1,0,Lens,Clermont,1.72,2.1,3.298611111111111,0.6333333333333333,9,5,5,0,0,0,3,2,2,1,0
9,0,1,0,0,1,Lyon,Nice,1.8,2.0,2.1714285714285713,0.8444444444444444,6,6,2,1,2,2,3,0,2,1,2
10,1,0,0,0,1,Marseille,Lyon,1.72,2.1,1.5909090909090908,1.09375,4,6,1,1,3,2,1,2,1,2,2
11,0,1,0,0,1,Lille,Rennes,1.72,2.1,1.4693877551020407,1.309090909090909,9,12,3,1,1,4,1,0,2,3,0
12,0,0,1,0,1,Toulouse,Monaco,1.57,2.37,1.1874999999999998,1.8095238095238093,6,10,1,2,2,3,1,1,0,2,3
13,1,0,0,0,1,Reims,Nantes,1.97,1.93,1.707317073170732,1.0294117647058825,3,6,2,3,0,1,2,2,4,0,1
14,1,0,0,0,1,Nice,Brest,1.98,1.92,2.0833333333333335,0.8660508083140878,8,5,3,2,0,1,1,3,4,0,1
15,0,1,0,0,1,Clermont,Montpellier,1.84,2.06,1.4767932489451476,1.206896551724138,6,2,1,3,1,0,1,4,1,1,1
16,0,0,1,1,0,Lorient,Paris SG,1.4,3.0,0.6842105263157895,5.078125,6,10,1,2,2,4,1,0,1,1,3
17,0,0,1,1,0,Angers,Lens,1.72,2.1,0.8,2.4096385542168677,6,7,0,0,5,4,0,1,1,2,2
18,1,0,0,1,0,Ajaccio,Strasbourg,2.3,1.61,1.142857142857143,1.2213740458015268,7,9,2,1,2,1,2,2,1,0,0
19,0,1,0,0,1,Troyes,Auxerre,1.88,2.02,1.8461538461538463,0.9473684210526316,9,5,0,3,2,1,2,2,0,1,0
20,1,0,0,0,1,Lyon,Lille,1.61,2.3,1.875,1.0714285714285714,6,9,2,1,2,3,0,2,1,2,2
21,0,0,1,1,0,Lorient,Nice,2.1,1.72,1.387755102040816,1.1846689895470381,7,8,2,2,1,2,2,1,1,2,2
22,1,0,0,1,0,Rennes,Montpellier,1.57,2.37,4.135338345864661,0.6875,14,3,5,0,0,0,0,5,4,0,1
23,0,1,0,0,1,Nantes,Clermont,1.91,1.99,1.875,1.0416666666666667,7,8,1,2,2,2,2,1,2,1,0
24,1,0,0,0,1,Monaco,Angers,1.5,2.62,3.7500000000000004,0.75,12,5,3,1,1,0,0,5,5,0,0
25,0,1,0,0,1,Brest,Reims,1.96,1.94,1.2595419847328244,1.222222222222222,6,4,1,2,2,1,4,0,1,3,1
26,1,0,0,0,1,Auxerre,Ajaccio,2.5,1.53,1.1923076923076923,1.0689655172413794,5,4,1,2,2,1,1,3,2,0,1
27,0,1,0,1,0,Strasbourg,Marseille,1.89,2.01,1.206896551724138,1.4767932489451476,8,6,1,2,2,1,1,3,0,2,3
28,1,0,0,1,0,Paris SG,Troyes,1.25,4.0,10.091743119266054,0.4782608695652174,10,10,4,1,0,0,3,2,4,1,0
29,1,0,0,1,0,Lens,Toulouse,1.57,2.37,2.903225806451613,0.8181818181818182,6,10,4,0,1,2,2,1,3,0,0
30,1,0,0,1,0,Lille,Monaco,1.66,2.2,1.510204081632653,1.3703703703703702,11,13,4,0,1,3,1,1,2,2,1
31,0,1,0,0,1,Nice,Nantes,2.09,1.81,1.8918918918918919,0.8083140877598153,6,6,1,2,2,1,2,2,4,1,0
32,0,1,0,1,0,Troyes,Lorient,1.86,2.04,1.5217391304347827,1.1666666666666667,10,9,1,3,1,3,2,0,1,2,2
33,0,1,0,1,0,Toulouse,Strasbourg,1.84,2.06,1.5909090909090908,1.09375,11,7,2,2,1,1,1,3,0,2,3
34,1,0,0,1,0,Reims,Auxerre,1.98,1.92,1.9672131147540983,0.8571428571428571,4,5,1,3,1,0,2,3,1,0,0
35,0,0,1,1,0,Clermont,Brest,2.02,1.88,1.4345991561181433,1.1333333333333333,8,6,2,1,2,1,1,3,0,1,2
36,0,0,1,1,0,Angers,Rennes,1.72,2.1,1.0,2.1857923497267757,6,12,1,0,4,4,1,0,2,0,3
37,0,0,1,0,1,Marseille,Lens,1.94,1.96,1.627906976744186,1.0606060606060606,5,3,1,1,3,3,1,1,1,1,3
38,0,0,1,1,0,Montpellier,Lyon,1.57,2.37,0.95,2.054054054054054,5,5,1,0,4,1,1,3,2,0,3
39,0,0,1,1,0,Ajaccio,Paris SG,1.72,2.1,0.6111111111111112,4.230769230769231,5,7,2,1,2,4,1,0,0,3,2
40,1,0,0,0,1,Paris SG,Marseille,1.44,2.75,4.044117647058823,0.7333333333333333,5,7,4,1,0,2,1,2,3,1,1
41,0,1,0,0,1,Monaco,Clermont,1.61,2.3,3.8602941176470584,0.65625,12,7,4,1,0,2,2,1,2,1,0
42,0,1,0,0,1,Troyes,Ajaccio,2.37,1.57,1.488372093023256,0.888888888888889,8,5,1,2,2,2,1,2,2,1,0
43,1,0,0,1,0,Rennes,Lyon,1.66,2.2,1.6086956521739133,1.289198606271777,15,4,4,1,0,0,1,4,3,1,1
44,1,0,0,1,0,Nantes,Brest,2.0,1.8,1.4999999999999998,0.9705882352941176,7,3,1,1,3,0,1,4,4,1,0
45,0,1,0,0,1,Auxerre,Nice,1.97,1.93,0.9722222222222222,1.707317073170732,4,6,0,2,3,2,1,2,1,1,1
46,1,0,0,1,0,Toulouse,Angers,1.72,2.1,2.076502732240437,0.95,10,7,3,1,1,2,0,3,2,2,1
47,1,0,0,0,1,Lens,Montpellier,1.57,2.37,3.5714285714285716,0.7142857142857143,3,5,3,1,1,1,0,4,3,0,2
48,0,1,0,0,1,Lorient,Reims,1.89,2.01,1.511111111111111,1.0461538461538462,10,2,4,1,0,0,3,2,2,2,1
49,0,0,1,1,0,Strasbourg,Lille,2.01,1.89,1.064516129032258,1.3924050632911391,5,8,1,1,3,3,0,2,0,1,4
50,1,0,0,0,1,Lille,Lens,1.72,2.1,1.4693877551020407,1.3333333333333333,8,3,3,0,2,2,2,1,3,0,2
51,1,0,0,1,0,Rennes,Nantes,1.66,2.2,2.8866666666666667,0.7216666666666667,13,3,3,2,0,0,1,4,3,1,1
52,1,0,0,1,0,Nice,Troyes,1.95,1.95,2.0930232558139537,0.72,5,8,2,0,3,1,2,2,3,0,2
53,1,0,0,1,0,Clermont,Auxerre,2.06,1.84,1.6666666666666665,1.0,8,3,3,1,1,0,1,4,1,0,0
54,0,0,1,1,0,Brest,Lorient,1.9,2.0,1.5217391304347827,1.1666666666666667,3,13,0,2,3,5,0,0,2,0,3
55,0,0,1,1,0,Angers,Strasbourg,1.97,1.93,1.297709923664122,1.3076923076923077,5,6,2,0,3,1,2,2,1,1,3
56,0,0,1,0,1,Montpellier,Monaco,1.53,2.5,1.1111111111111112,2.1052631578947367,6,12,1,0,4,5,0,0,1,1,3
57,0,1,0,0,1,Reims,Paris SG,1.44,2.75,0.7857142857142857,3.928571428571429,3,7,0,3,2,4,1,0,0,1,4
58,0,0,1,1,0,Marseille,Ajaccio,1.9,2.0,3.571428571428571,0.475,9,4,3,1,1,2,0,3,3,1,1
59,0,1,0,0,1,Lyon,Toulouse,1.4,3.0,3.4482758620689657,0.8333333333333334,3,7,0,1,4,2,1,2,3,2,0
60,1,0,0,0,1,Lens,Lyon,1.57,2.37,1.52,1.4901960784313726,8,7,3,2,0,1,0,4,1,2,2
61,1,0,0,1,0,Monaco,Nantes,1.66,2.2,2.941176470588235,0.8181818181818182,12,4,4,0,1,0,2,3,3,2,0
62,0,1,0,1,0,Troyes,Reims,1.95,1.95,1.3599999999999999,1.2142857142857144,10,7,2,2,1,1,2,2,3,2,0
63,1,0,0,1,0,Toulouse,Montpellier,1.72,2.1,2.054054054054054,1.0133333333333332,6,8,2,0,3,2,0,3,1,0,4
64,0,1,0,0,1,Auxerre,Brest,1.8,2.0,1.2962962962962963,1.3725490196078431,3,3,0,1,4,0,2,3,1,1,1
65,0,0,1,1,0,Ajaccio,Clermont,2.5,1.53,1.409090909090909,0.8611111111111112,2,6,1,0,4,2,1,2,0,0,1
66,1,0,0,1,0,Lorient,Lille,1.72,2.1,1.254355400696864,1.5189873417721518,12,8,5,0,0,2,0,3,2,0,3
67,1,0,0,1,0,Paris SG,Nice,1.33,3.4,7.3275862068965525,0.6538461538461539,10,4,5,0,0,2,0,3,3,1,1
68,0,0,1,1,0,Strasbourg,Rennes,1.92,1.98,1.1666666666666667,1.5217391304347827,4,13,0,3,2,3,2,0,1,1,3
69,0,0,1,1,0,Angers,Marseille,1.8,2.0,0.8444444444444444,2.2093023255813953,5,9,2,0,3,4,1,0,1,1,3
70,0,0,1,0,1,Lyon,Paris SG,1.36,3.2,1.0555555555555556,2.950310559006211,9,9,2,0,3,4,1,0,1,1,3
71,0,1,0,0,1,Nantes,Lens,1.85,2.05,1.129032258064516,1.5909090909090908,6,9,1,2,2,3,2,0,1,4,0
72,0,0,1,0,1,Nice,Angers,1.91,1.99,2.484472049689441,0.7272727272727273,3,6,2,0,3,2,0,3,4,0,1
73,0,1,0,0,1,Marseille,Rennes,1.8,2.0,1.75609756097561,1.0,9,11,4,1,0,2,2,1,2,1,2
74,0,0,1,1,0,Clermont,Troyes,2.02,1.88,1.511111111111111,1.0625,4,11,1,1,3,3,1,1,2,0,1
75,0,0,1,0,1,Brest,Ajaccio,2.3,1.61,1.6097560975609757,0.825,2,2,0,1,4,1,0,4,0,3,2
76,0,0,1,1,0,Reims,Monaco,1.72,2.1,1.129032258064516,1.5555555555555556,6,9,1,2,2,3,1,1,1,2,2
77,1,0,0,1,0,Lille,Toulouse,1.66,2.2,2.2285714285714286,0.8666666666666667,10,3,3,0,2,1,0,4,2,1,2
78,1,0,0,1,0,Montpellier,Strasbourg,1.88,2.02,1.4693877551020407,1.3333333333333333,13,3,3,0,2,0,3,2,3,1,1
79,0,0,1,1,0,Auxerre,Lorient,1.96,1.94,1.222222222222222,1.2692307692307692,3,12,1,0,4,4,0,1,0,2,1
80,1,0,0,1,0,Monaco,Lyon,1.57,2.37,1.4,1.2962962962962963,7,10,2,1,2,2,1,2,2,0,3
81,1,0,0,1,0,Rennes,Auxerre,1.61,2.3,3.3928571428571432,0.59375,12,4,3,1,1,2,0,3,2,1,0
82,1,0,0,0,1,Toulouse,Reims,1.86,2.04,1.5909090909090908,1.09375,4,7,1,1,3,1,3,1,3,1,1
83,1,0,0,1,0,Lorient,Nantes,2.0,1.8,1.5476190476190474,0.8666666666666667,11,7,4,0,1,1,1,3,1,1,3
84,1,0,0,1,0,Angers,Montpellier,1.72,2.1,1.5,1.309090909090909,6,12,1,0,4,2,0,3,2,1,2
85,0,0,1,0,1,Ajaccio,Nice,2.5,1.53,0.9090909090909092,1.25,2,3,0,0,5,2,0,3,1,1,3
86,0,1,0,0,1,Strasbourg,Clermont,1.99,1.91,2.2590361445783134,0.6818181818181818,3,4,0,4,1,2,1,2,2,1,0
87,1,0,0,1,0,Marseille,Lille,1.72,2.1,1.9230769230769231,1.0,10,9,5,0,0,2,0,3,1,2,2
88,1,0,0,0,1,Paris SG,Brest,1.2,4.5,12.149532710280374,0.5652173913043478,15,5,4,1,0,1,1,3,5,0,0
89,1,0,0,0,1,Lens,Troyes,1.61,2.3,3.0,0.75,13,9,4,1,0,2,1,2,3,0,0
90,1,0,0,1,0,Lorient,Lyon,1.57,2.37,1.0,2.7272727272727275,10,13,3,1,1,3,1,1,1,2,2
91,0,0,1,0,1,Nice,Monaco,1.8,2.0,1.3333333333333333,1.5189873417721518,3,6,1,1,3,1,2,2,0,1,4
92,0,1,0,0,1,Troyes,Rennes,1.86,2.04,0.9237875288683602,2.2857142857142856,9,8,2,1,2,2,2,1,0,3,2
93,0,1,0,0,1,Reims,Lens,1.88,2.02,1.09375,1.5555555555555556,9,12,1,3,1,3,2,0,0,3,2
94,1,0,0,0,1,Clermont,Toulouse,1.95,1.95,1.25,1.4583333333333335,8,6,3,0,2,1,1,3,1,0,0
95,0,1,0,0,1,Brest,Strasbourg,1.92,1.98,1.2142857142857144,1.387755102040816,6,4,1,2,2,0,4,1,0,2,3
96,0,0,1,0,1,Ajaccio,Lorient,2.2,1.66,1.3061224489795917,1.103448275862069,2,8,0,1,4,3,1,1,1,1,3
97,0,0,1,1,0,Montpellier,Lille,1.72,2.1,1.1538461538461537,1.7857142857142856,13,9,2,0,3,2,1,2,0,1,4
98,0,0,1,1,0,Nantes,Paris SG,1.36,3.2,0.6842105263157895,5.078125,6,19,1,2,2,4,1,0,2,0,3
99,1,0,0,1,0,Lyon,Angers,1.44,2.75,4.4921875,0.575,14,6,4,1,0,0,1,4,4,0,1
100,0,0,1,0,1,Auxerre,Marseille,1.72,2.1,0.8421052631578947,2.4096385542168677,6,9,2,1,2,4,1,0,0,1,2
101,0,0,1,1,0,Toulouse,Paris SG,1.33,3.4,0.5384615384615384,5.833333333333334,7,21,1,2,2,4,1,0,0,0,5
102,1,0,0,1,0,Rennes,Brest,1.61,2.3,3.2758620689655173,0.7307692307692307,7,7,2,1,2,1,1,3,4,1,0
103,1,0,0,0,1,Marseille,Clermont,1.66,2.2,3.676470588235294,0.5882352941176471,11,6,4,1,0,2,0,3,2,0,1
104,0,0,1,1,0,Lille,Nice,2.03,1.87,1.75,0.9333333333333333,10,4,2,1,2,1,2,2,2,1,2
105,1,0,0,1,0,Lens,Lorient,1.72,2.1,2.6143790849673203,0.6153846153846154,14,8,4,1,0,2,2,1,3,1,1
106,0,1,0,0,1,Strasbourg,Nantes,1.95,1.95,1.9459459459459458,0.8571428571428571,4,6,0,3,2,1,3,1,2,2,1
107,1,0,0,0,1,Montpellier,Ajaccio,2.1,1.72,1.5714285714285712,0.9166666666666666,15,3,3,0,2,0,1,4,3,1,1
108,0,0,1,1,0,Monaco,Troyes,1.53,2.5,3.8602941176470584,0.65625,7,10,1,2,2,2,0,3,4,0,1
