,FTR,HomeTeam,AwayTeam,FTHG,FTAG
0,H,Juventus,Lazio,3.0,0.0
1,H,Milan,Fiorentina,2.0,1.0
2,A,Verona,Spezia,1.0,2.0
3,D,Roma,Torino,1.0,1.0
4,H,Monza,Salernitana,3.0,0.0
5,A,Atalanta,Inter,2.0,3.0
6,H,Bologna,Sassuolo,3.0,0.0
7,A,Sampdoria,Lecce,0.0,2.0
8,H,Napoli,Udinese,3.0,2.0
9,H,Empoli,Cremonese,2.0,0.0
10,H,Lazio,Monza,1.0,0.0
11,A,Verona,Juventus,0.0,1.0
12,H,Torino,Sampdoria,2.0,0.0
13,H,Inter,Bologna,6.0,1.0
14,H,Fiorentina,Salernitana,2.0,1.0
15,D,Sassuolo,Roma,1.0,1.0
16,H,Lecce,Atalanta,2.0,1.0
17,D,Cremonese,Milan,0.0,0.0
18,D,Spezia,Udinese,1.0,1.0
19,H,Napoli,Empoli,2.0,0.0
20,H,Juventus,Inter,2.0,0.0
21,A,Roma,Lazio,0.0,1.0
22,A,Sampdoria,Fiorentina,0.0,2.0
23,H,Monza,Verona,2.0,0.0
24,H,Bologna,Torino,2.0,1.0
25,H,Milan,Spezia,2.0,1.0
26,A,Atalanta,Napoli,1.0,2.0
27,D,Salernitana,Cremonese,2.0,2.0
28,H,Empoli,Sassuolo,1.0,0.0
29,D,Udinese,Lecce,1.0,1.0
30,A,Monza,Bologna,1.0,2.0
31,A,Verona,Roma,1.0,3.0
32,H,Torino,Milan,2.0,1.0
33,A,Lazio,Salernitana,1.0,3.0
34,A,Spezia,Fiorentina,1.0,2.0
35,D,Cremonese,Udinese,0.0,0.0
36,A,Empoli,Atalanta,0.0,2.0
37,H,Inter,Sampdoria,3.0,0.0
38,A,Lecce,Juventus,0.0,1.0
39,H,Napoli,Sassuolo,4.0,0.0
40,H,Sassuolo,Verona,2.0,1.0
41,A,Cremonese,Sampdoria,0.0,1.0
42,A,Roma,Napoli,0.0,1.0
43,A,Atalanta,Lazio,0.0,2.0
44,H,Bologna,Lecce,2.0,0.0
45,A,Udinese,Torino,1.0,2.0
46,A,Fiorentina,Inter,3.0,4.0
47,H,Milan,Monza,4.0,1.0
48,H,Salernitana,Spezia,1.0,0.0
49,H,Juventus,Empoli,4.0,0.0
50,D,Lecce,Fiorentina,1.0,1.0
51,A,Sampdoria,Roma,0.0,1.0
52,A,Verona,Milan,1.0,2.0
53,H,Napoli,Bologna,3.0,2.0
54,D,Spezia,Cremonese,2.0,2.0
55,D,Lazio,Udinese,0.0,0.0
56,H,Inter,Salernitana,2.0,0.0
57,H,Atalanta,Sassuolo,2.0,1.0
58,A,Torino,Juventus,0.0,1.0
59,H,Empoli,Monza,1.0,0.0
60,A,Fiorentina,Lazio,0.0,4.0
61,H,Roma,Lecce,2.0,1.0
62,A,Cremonese,Napoli,1.0,4.0
63,D,Udinese,Atalanta,2.0,2.0
64,H,Salernitana,Verona,2.0,1.0
65,H,Monza,Spezia,2.0,0.0
66,D,Torino,Empoli,1.0,1.0
67,D,Bologna,Sampdoria,1.0,1.0
68,H,Milan,Juventus,2.0,0.0
69,A,Sassuolo,Inter,1.0,2.0
70,A,Verona,Udinese,1.0,2.0
71,H,Juventus,Bologna,3.0,0.0
72,H,Atalanta,Fiorentina,1.0,0.0
73,H,Sassuolo,Salernitana,5.0,0.0
