,HW,D,AW,Over,Under,HomeTeam,AwayTeam,BO2.5,BU2.5,BHD,BAD,THG,TAG,HPr5MW,HPr5MD,HPr5ML,aPr5MW,aPr5MD,aPr5ML,HWH2H,DH2H,AWH2H
0,1,0,0,1,0,Juventus,Lazio,2.05,1.85,1.794871794871795,0.875,11,5,5,0,0,3,0,2,3,2,0
1,1,0,0,1,0,Milan,Fiorentina,1.9,2.0,2.235294117647059,0.76,9,10,3,1,1,3,0,2,4,0,1
2,0,0,1,1,0,Verona,Spezia,1.92,1.98,1.6190476190476188,0.9444444444444444,3,5,0,0,5,1,1,3,3,1,1
3,0,1,0,0,1,Roma,Torino,2.2,1.66,1.7894736842105263,0.7852193995381062,5,8,1,2,2,3,1,1,3,1,1
4,1,0,0,1,0,Monza,Salernitana,1.9,2.0,1.5116279069767442,0.9027777777777778,7,7,2,0,3,2,1,2,1,0,0
5,0,0,1,1,0,Atalanta,Inter,1.72,2.1,1.2096774193548387,1.7045454545454544,6,16,1,0,4,4,0,1,0,3,2
6,1,0,0,1,0,Bologna,Sassuolo,1.87,2.03,1.5217391304347827,1.1666666666666667,10,3,4,0,1,1,1,3,2,1,2
7,0,0,1,0,1,Sampdoria,Lecce,2.5,1.53,1.1450381679389312,1.0,1,5,1,0,4,2,1,2,1,1,1
8,1,0,0,1,0,Napoli,Udinese,1.57,2.37,3.1666666666666665,0.8260869565217391,12,5,5,0,0,0,3,2,5,0,0
9,1,0,0,0,1,Empoli,Cremonese,1.97,1.93,1.3599999999999999,1.2142857142857144,3,2,2,0,3,0,3,2,1,0,0
10,1,0,0,0,1,Lazio,Monza,1.72,2.1,2.608695652173913,0.8400000000000001,5,4,3,1,1,1,0,4,1,0,0
11,0,0,1,0,1,Verona,Juventus,2.01,1.89,0.76,2.289156626506024,3,9,0,0,5,5,0,0,1,2,2
12,1,0,0,0,1,Torino,Sampdoria,2.1,1.72,2.3602484472049685,0.6608695652173913,7,1,3,0,2,1,0,4,3,1,1
13,1,0,0,1,0,Inter,Bologna,1.53,2.5,4.4921875,0.575,15,9,4,0,1,3,0,2,4,0,1
14,1,0,0,1,0,Fiorentina,Salernitana,1.72,2.1,2.7450980392156863,0.672,10,7,3,1,1,2,1,2,2,0,1
15,0,1,0,0,1,Sassuolo,Roma,1.83,2.07,1.0588235294117647,1.7142857142857142,4,5,1,1,3,2,1,2,0,4,1
16,1,0,0,1,0,Lecce,Atalanta,2.06,1.84,0.7368421052631579,1.9444444444444444,4,6,1,2,2,2,0,3,1,1,3
17,0,1,0,0,1,Cremonese,Milan,1.72,2.1,0.7000000000000001,2.709677419354839,4,9,0,4,1,3,1,1,0,1,0
18,0,1,0,0,1,Spezia,Udinese,1.99,1.91,0.875,1.842105263157895,5,3,0,2,3,0,4,1,2,1,2
19,1,0,0,0,1,Napoli,Empoli,1.4,3.0,5.2,0.6842105263157895,12,2,5,0,0,2,0,3,2,0,3
20,1,0,0,0,1,Juventus,Inter,1.99,1.91,1.096774193548387,1.4345991561181433,8,11,4,0,1,4,0,1,2,1,2
21,0,0,1,0,1,Roma,Lazio,1.95,1.95,1.75,0.9210526315789475,6,8,3,0,2,3,1,1,2,0,3
22,0,0,1,0,1,Sampdoria,Fiorentina,2.06,1.84,0.8095238095238094,1.7894736842105263,2,8,1,1,3,2,1,2,3,0,2
23,1,0,0,0,1,Monza,Verona,1.92,1.98,1.5454545454545452,1.0303030303030303,6,4,2,0,3,0,0,5,1,0,0
24,1,0,0,1,0,Bologna,Torino,2.3,1.61,1.0333333333333334,1.24,9,6,3,1,1,2,1,2,1,3,1
25,1,0,0,1,0,Milan,Spezia,1.57,2.37,4.918032786885246,0.46153846153846156,11,4,4,0,1,0,1,4,3,0,2
26,0,0,1,1,0,Atalanta,Napoli,1.66,2.2,1.090909090909091,1.6744186046511629,7,14,2,1,2,5,0,0,2,0,3
27,0,1,0,1,0,Salernitana,Cremonese,2.04,1.86,1.6744186046511629,1.090909090909091,8,5,3,1,1,0,3,2,0,1,0
28,1,0,0,0,1,Empoli,Sassuolo,1.72,2.1,1.2142857142857144,1.387755102040816,3,4,2,1,2,1,0,4,3,0,2
29,0,1,0,0,1,Udinese,Lecce,1.99,1.91,2.422360248447205,0.7090909090909091,4,3,0,4,1,0,2,3,3,1,1
30,0,0,1,1,0,Monza,Bologna,1.97,1.93,1.4999999999999998,0.9705882352941176,7,7,2,0,3,2,1,2,0,0,1
31,0,0,1,1,0,Verona,Roma,1.98,1.92,0.8314087759815243,1.9672131147540983,5,8,0,0,5,4,0,1,1,2,2
32,1,0,0,1,0,Torino,Milan,2.1,1.72,0.88,1.5714285714285712,6,12,2,1,2,4,0,1,1,1,3
33,0,0,1,1,0,Lazio,Salernitana,1.66,2.2,3.0,0.6923076923076923,11,6,3,1,1,3,0,2,2,0,1
